timestamp,accXRMS,accYRMS,accZRMS
2025-09-16 09:11:04.820,54449,100,109
2025-09-16 09:11:16.537,54450,100,74
2025-09-16 09:11:16.538,54451,100,109
2025-09-16 09:11:16.539,54452,100,94
2025-09-16 09:11:16.540,54453,101,124
2025-09-16 09:11:16.541,54454,100,92
2025-09-16 09:11:16.541,54455,100,126
2025-09-16 09:11:16.542,54456,100,117
2025-09-16 09:11:16.543,54457,100,103
2025-09-16 09:11:16.543,54458,100,116
2025-09-16 09:11:16.544,54459,102,112
2025-09-16 09:11:16.545,54460,102,95
2025-09-16 09:11:16.978,54461,103,94
2025-09-16 09:11:17.802,54462,100,108
2025-09-16 09:11:18.821,54463,100,152
2025-09-16 09:11:19.812,54464,100,104
2025-09-16 09:11:20.832,54465,100,138
2025-09-16 09:11:22.061,54466,102,104
2025-09-16 09:11:22.856,54467,104,120
2025-09-16 09:11:23.906,54468,102,100
2025-09-16 09:11:24.866,54469,100,113
2025-09-16 09:11:25.916,54470,100,124
2025-09-16 09:11:27.026,54471,100,98
2025-09-16 09:11:27.881,54472,100,63
2025-09-16 09:11:28.901,54473,100,93
2025-09-16 09:11:29.921,54474,104,109
2025-09-16 09:11:30.910,54475,100,126
2025-09-16 09:11:32.020,54476,100,139
2025-09-16 09:11:32.906,54477,100,75
2025-09-16 09:11:33.925,54478,100,141
2025-09-16 09:11:34.919,54479,100,166
2025-09-16 09:11:35.968,54480,102,87
2025-09-16 09:11:37.016,54481,100,89
2025-09-16 09:11:38.066,54482,102,103
2025-09-16 09:11:38.980,54483,100,98
2025-09-16 09:11:39.983,54484,100,88
2025-09-16 09:11:40.960,54485,100,97
2025-09-16 09:11:41.952,54486,102,120
2025-09-16 09:11:43.034,54487,100,157
2025-09-16 09:11:44.200,54488,100,133
2025-09-16 09:11:44.995,54489,100,116
2025-09-16 09:11:46.017,54490,100,103
2025-09-16 09:11:47.035,54491,103,89
2025-09-16 09:11:48.094,54492,100,64
2025-09-16 09:11:49.135,54493,101,142
2025-09-16 09:11:50.020,54494,100,139
2025-09-16 09:11:51.025,54495,100,90
2025-09-16 09:11:52.060,54496,100,89
2025-09-16 09:11:53.080,54497,102,89
2025-09-16 09:11:54.190,54498,100,83
2025-09-16 09:11:55.105,54499,100,127
2025-09-16 09:11:56.068,54500,100,97
2025-09-16 09:11:57.085,54501,102,113
2025-09-16 09:11:58.075,54502,100,101
2025-09-16 09:11:59.186,54503,100,88
2025-09-16 09:12:00.101,54504,100,105
2025-09-16 09:12:01.090,54505,100,112
2025-09-16 09:12:02.110,54506,100,85
2025-09-16 09:12:03.166,54507,100,135
2025-09-16 09:12:04.210,54508,104,133
2025-09-16 09:12:05.259,54509,100,71
2025-09-16 09:12:06.116,54510,100,102
2025-09-16 09:12:07.135,54511,100,153
2025-09-16 09:12:08.155,54512,100,129
2025-09-16 09:12:09.146,54513,101,99
2025-09-16 09:12:10.284,54514,100,73
2025-09-16 09:12:11.141,54515,100,112
2025-09-16 09:12:12.161,54516,100,133
2025-09-16 09:12:13.179,54517,101,95
2025-09-16 09:12:14.204,54518,100,164
2025-09-16 09:12:15.251,54519,100,184
2025-09-16 09:12:16.360,54520,100,117
2025-09-16 09:12:17.186,54521,100,89
2025-09-16 09:12:18.204,54522,100,125
2025-09-16 09:12:19.254,54523,102,103
2025-09-16 09:12:20.305,54524,101,75
2025-09-16 09:12:21.324,54525,100,141
2025-09-16 09:12:22.239,54526,100,138
2025-09-16 09:12:23.229,54527,100,118
2025-09-16 09:12:24.219,54528,100,108
2025-09-16 09:12:25.239,54529,100,123
2025-09-16 09:12:26.319,54530,100,118
2025-09-16 09:12:27.265,54531,100,64
2025-09-16 09:12:28.284,54532,103,68
2025-09-16 09:12:29.364,54533,102,200
2025-09-16 09:12:30.295,54534,100,102
2025-09-16 09:12:31.374,54535,101,165
2025-09-16 09:12:32.455,54536,100,53
2025-09-16 09:12:33.312,54537,100,120
2025-09-16 09:12:34.329,54538,101,74
2025-09-16 09:12:35.410,54539,102,85
2025-09-16 09:12:36.400,54540,100,102
2025-09-16 09:12:37.481,54541,102,88
2025-09-16 09:12:38.351,54542,103,146
2025-09-16 09:12:39.385,54543,102,121
2025-09-16 09:12:40.404,54544,100,105
2025-09-16 09:12:41.366,54545,100,90
2025-09-16 09:12:42.504,54546,100,84
2025-09-16 09:12:43.391,54547,100,88
2025-09-16 09:12:44.439,54548,100,120
2025-09-16 09:12:45.400,54549,100,107
2025-09-16 09:12:46.421,54550,103,116
2025-09-16 09:12:47.447,54551,104,97
2025-09-16 09:12:48.670,54552,101,145
2025-09-16 09:12:49.436,54553,100,54
2025-09-16 09:12:50.454,54554,100,121
2025-09-16 09:12:51.444,54555,100,92
2025-09-16 09:12:52.494,54556,100,66
2025-09-16 09:12:53.574,54557,100,98
2025-09-16 09:12:58.652,54562,100,121
2025-09-16 09:13:10.346,54563,100,146
2025-09-16 09:13:21.996,54564,100,136
2025-09-16 09:13:33.140,54565,100,121
2025-09-16 09:13:44.088,54566,100,89
2025-09-16 09:13:55.889,54567,103,141
